datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,load_area,prelim_load_avg_hourly
1/2/2022 10:00:00 PM,1/2/2022 5:00:00 PM,1/2/2022 11:00:00 PM,1/2/2022 6:00:00 PM,MIDATL,30362.9
1/2/2022 11:00:00 PM,1/2/2022 6:00:00 PM,1/3/2022 12:00:00 AM,1/2/2022 7:00:00 PM,MIDATL,30542.6
1/3/2022 12:00:00 AM,1/2/2022 7:00:00 PM,1/3/2022 1:00:00 AM,1/2/2022 8:00:00 PM,MIDATL,30319.4
1/3/2022 1:00:00 AM,1/2/2022 8:00:00 PM,1/3/2022 2:00:00 AM,1/2/2022 9:00:00 PM,MIDATL,29799.8
1/3/2022 2:00:00 AM,1/2/2022 9:00:00 PM,1/3/2022 3:00:00 AM,1/2/2022 10:00:00 PM,MIDATL,28931.1
1/3/2022 3:00:00 AM,1/2/2022 10:00:00 PM,1/3/2022 4:00:00 AM,1/2/2022 11:00:00 PM,MIDATL,27777.6
1/3/2022 4:00:00 AM,1/2/2022 11:00:00 PM,1/3/2022 5:00:00 AM,1/3/2022 12:00:00 AM,MIDATL,26514.4
1/3/2022 5:00:00 AM,1/3/2022 12:00:00 AM,1/3/2022 6:00:00 AM,1/3/2022 1:00:00 AM,MIDATL,25603.6
1/3/2022 6:00:00 AM,1/3/2022 1:00:00 AM,1/3/2022 7:00:00 AM,1/3/2022 2:00:00 AM,MIDATL,25153.8
1/3/2022 7:00:00 AM,1/3/2022 2:00:00 AM,1/3/2022 8:00:00 AM,1/3/2022 3:00:00 AM,MIDATL,25136.3
1/3/2022 8:00:00 AM,1/3/2022 3:00:00 AM,1/3/2022 9:00:00 AM,1/3/2022 4:00:00 AM,MIDATL,25497.4
1/3/2022 9:00:00 AM,1/3/2022 4:00:00 AM,1/3/2022 10:00:00 AM,1/3/2022 5:00:00 AM,MIDATL,26500.1
1/3/2022 10:00:00 AM,1/3/2022 5:00:00 AM,1/3/2022 11:00:00 AM,1/3/2022 6:00:00 AM,MIDATL,28500.0
1/3/2022 11:00:00 AM,1/3/2022 6:00:00 AM,1/3/2022 12:00:00 PM,1/3/2022 7:00:00 AM,MIDATL,31141.4
